time,node_id,observed_arrival_rate,smoothed_arrival_rate,waiting_queue_size,idle,predicted_queue_size,proactive_queue_threshold,proactive_risk
0.000,0,1.000,1.000,0,false,8.476,9.600,false
0.000,1,3.000,3.000,1,false,29.476,16.800,true
0.000,2,0.000,0.000,0,true,0.000,25.200,false
0.000,3,4.000,4.000,3,false,41.476,36.000,true
0.000,4,2.000,2.000,1,false,19.476,48.000,false
1.000,0,1.000,1.000,2,false,10.476,9.600,true
1.000,1,1.000,2.400,2,false,24.476,16.800,true
1.000,2,5.000,1.500,2,false,15.476,25.200,false
1.000,3,2.000,3.400,5,false,37.476,36.000,false
1.000,4,8.000,3.800,10,false,46.476,48.000,false
2.000,0,2.000,1.300,5,false,16.476,9.600,true
2.000,1,3.000,2.580,5,false,29.276,16.800,true
2.000,2,0.000,1.050,2,false,10.976,25.200,false
2.000,3,3.000,3.280,8,false,39.276,36.000,false
2.000,4,5.000,4.160,15,false,55.076,48.000,false
3.000,0,1.000,1.210,6,false,16.576,9.600,true
3.000,1,1.000,2.106,6,false,25.536,16.800,true
3.000,2,2.000,1.335,4,false,15.826,25.200,false
3.000,3,3.000,3.196,11,false,41.436,36.000,false
3.000,4,5.000,4.412,20,false,62.596,48.000,false
4.000,0,1.000,1.147,7,false,16.946,9.600,true
4.000,1,4.000,2.674,10,false,35.218,16.800,true
4.000,2,4.000,2.135,8,false,27.821,25.200,false
4.000,3,5.000,3.737,16,false,51.848,36.000,true
4.000,4,2.000,3.688,22,false,57.360,48.000,false
5.000,0,1.000,1.103,8,false,17.505,9.600,true
5.000,1,0.000,1.872,10,false,27.196,16.800,true
5.000,2,1.000,1.794,9,false,25.418,25.200,false
5.000,3,6.000,4.416,21,false,63.637,36.000,true
5.000,4,3.000,3.482,25,false,58.295,48.000,false
6.000,0,0.000,0.772,4,false,10.196,9.600,false
6.000,1,3.000,2.210,14,false,34.580,16.800,true
6.000,2,1.000,1.556,12,false,26.035,25.200,false
6.000,3,1.000,3.391,22,false,54.388,36.000,false
6.000,4,4.000,3.637,28,false,62.849,48.000,false
7.000,0,2.000,1.140,6,false,15.880,9.600,true
7.000,1,6.000,3.347,20,false,51.949,16.800,true
7.000,2,0.000,1.089,12,false,21.368,25.200,false
7.000,3,4.000,3.574,26,false,60.215,36.000,false
7.000,4,6.000,4.346,34,false,75.937,48.000,false
8.000,0,1.000,1.098,7,false,16.459,9.600,true
8.000,1,5.000,3.843,25,false,61.907,16.800,true
8.000,2,1.000,1.062,13,false,22.100,25.200,false
8.000,3,1.000,2.802,27,false,53.493,36.000,false
8.000,4,3.000,3.942,37,false,74.899,48.000,false
9.000,0,0.000,0.769,7,false,13.164,9.600,false
9.000,1,2.000,3.290,27,false,58.378,16.800,true
9.000,2,2.000,1.344,15,false,26.913,25.200,false
9.000,3,2.000,2.561,28,false,52.088,36.000,false
9.000,4,3.000,3.660,40,false,75.072,48.000,false
10.000,0,0.000,0.538,7,false,10.858,9.600,false
10.000,1,1.000,2.603,28,false,52.507,16.800,true
10.000,2,2.000,1.541,17,false,30.882,25.200,false
10.000,3,3.000,2.693,31,false,56.405,36.000,false
10.000,4,6.000,4.362,45,false,87.093,48.000,false
11.000,0,0.000,0.377,7,false,9.243,9.600,false
11.000,1,2.000,2.422,30,false,52.698,16.800,true
11.000,2,4.000,2.278,21,false,42.260,25.200,false
11.000,3,3.000,2.785,34,false,60.326,36.000,false
11.000,4,4.000,4.253,49,false,90.008,48.000,false
12.000,0,0.000,0.264,7,false,8.113,9.600,false
12.000,1,1.000,1.996,30,false,48.431,16.800,true
12.000,2,1.000,1.895,22,false,39.425,25.200,false
12.000,3,5.000,3.449,39,false,71.971,36.000,false
12.000,4,4.000,4.177,53,false,93.249,48.000,false
13.000,0,0.000,0.185,7,false,7.322,9.600,false
13.000,1,3.000,2.297,33,false,54.445,16.800,true
13.000,2,3.000,2.226,25,false,45.740,25.200,false
13.000,3,3.000,3.315,42,false,73.623,36.000,false
13.000,4,2.000,3.524,55,false,88.717,48.000,false
14.000,0,0.000,0.129,7,false,6.768,9.600,false
14.000,1,3.000,2.508,36,false,59.554,16.800,true
14.000,2,3.000,2.458,28,false,51.061,25.200,false
14.000,3,2.000,2.920,43,false,70.679,36.000,false
14.000,4,5.000,3.967,59,false,97.145,48.000,false
15.000,0,0.000,0.090,7,false,6.381,9.600,false
15.000,1,1.000,2.055,37,false,56.031,16.800,true
15.000,2,2.000,2.321,29,false,50.686,25.200,false
15.000,3,2.000,2.644,45,false,69.918,36.000,false
15.000,4,4.000,3.977,63,false,101.244,48.000,false
16.000,0,1.000,0.363,8,false,10.109,9.600,false
16.000,1,1.000,1.739,37,false,52.864,16.800,true
16.000,2,3.000,2.525,32,false,55.723,25.200,true
16.000,3,2.000,2.451,47,false,69.985,36.000,false
16.000,4,2.000,3.384,65,false,97.314,48.000,false
17.000,0,0.000,0.254,4,false,5.019,9.600,false
17.000,1,0.000,1.217,37,false,47.648,16.800,false
17.000,2,3.000,2.667,38,false,63.149,25.200,true
17.000,3,3.000,2.616,49,false,73.633,36.000,false
17.000,4,3.000,3.269,67,false,98.162,48.000,false
18.000,0,1.000,0.478,5,false,8.256,9.600,false
18.000,1,3.000,1.752,40,false,55.996,16.800,true
18.000,2,1.000,2.167,39,false,59.147,25.200,false
18.000,3,2.000,2.431,51,false,73.786,36.000,false
18.000,4,3.000,3.188,70,false,100.357,48.000,false
19.000,0,0.000,0.335,5,false,6.822,9.600,false
19.000,1,1.000,1.526,41,false,54.740,16.800,false
19.000,2,4.000,2.717,43,false,68.646,25.200,true
19.000,3,3.000,2.602,54,false,78.493,36.000,false
19.000,4,6.000,4.032,76,false,114.792,48.000,false
20.000,0,1.000,0.534,6,false,9.819,9.600,false
20.000,1,1.000,1.368,42,false,54.161,16.800,false
20.000,2,0.000,1.902,42,false,59.495,25.200,false
20.000,3,2.000,2.421,55,false,77.688,36.000,false
20.000,4,4.000,4.022,80,false,118.698,48.000,false
21.000,0,0.000,0.374,6,false,8.216,9.600,false
21.000,1,0.000,0.958,41,false,49.056,16.800,false
21.000,2,1.000,1.631,43,false,57.789,25.200,false
21.000,3,2.000,2.295,57,false,78.424,36.000,false
21.000,4,7.000,4.915,87,false,134.631,48.000,true
22.000,0,1.000,0.562,17,false,21.094,9.600,false
22.000,1,5.000,2.171,46,false,66.182,16.800,true
22.000,2,1.000,1.442,43,false,55.895,25.200,false
22.000,3,4.000,2.806,61,false,87.540,36.000,false
22.000,4,2.000,4.041,78,false,116.885,48.000,false
23.000,0,0.000,0.393,17,false,19.409,9.600,false
23.000,1,1.000,1.819,47,false,63.670,16.800,true
23.000,2,5.000,2.509,48,false,71.570,25.200,false
23.000,3,2.000,2.564,63,false,87.121,36.000,false
23.000,4,7.000,4.929,85,false,132.762,48.000,true
24.000,0,0.000,0.275,17,false,18.229,9.600,false
24.000,1,1.000,1.574,48,false,62.212,16.800,false
24.000,2,0.000,1.757,48,false,64.042,25.200,false
24.000,3,2.000,2.395,65,false,87.427,36.000,false
24.000,4,4.000,4.650,89,false,133.976,48.000,false
25.000,0,0.000,0.193,17,false,17.403,9.600,false
25.000,1,0.000,1.102,48,false,57.491,16.800,false
25.000,2,1.000,1.530,49,false,62.772,25.200,false
25.000,3,2.000,2.277,67,false,88.242,36.000,false
25.000,4,3.000,4.155,92,false,132.026,48.000,false
26.000,0,0.000,0.135,17,false,16.825,9.600,false
26.000,1,3.000,1.671,50,false,65.187,16.800,false
26.000,2,4.000,2.271,53,false,74.183,25.200,false
26.000,3,4.000,2.794,71,false,97.412,36.000,false
26.000,4,3.000,3.809,95,false,131.561,48.000,false
27.000,0,1.000,0.394,18,false,20.420,9.600,false
27.000,1,0.000,1.170,50,false,60.174,16.800,false
27.000,2,4.000,2.789,57,false,83.371,25.200,true
27.000,3,4.000,3.156,74,false,104.031,36.000,false
27.000,4,5.000,4.166,100,false,140.136,48.000,false
28.000,0,0.000,0.276,18,false,19.237,9.600,false
28.000,1,1.000,1.119,51,false,60.664,16.800,false
28.000,2,1.000,2.253,58,false,79.003,25.200,false
28.000,3,2.000,2.809,76,false,102.565,36.000,false
28.000,4,1.000,3.216,101,false,131.638,48.000,false
29.000,0,1.000,0.493,19,false,22.409,9.600,false
29.000,1,1.000,1.083,52,false,61.308,16.800,false
29.000,2,2.000,2.177,60,false,80.245,25.200,false
29.000,3,1.000,2.266,77,false,98.138,36.000,false
29.000,4,6.000,4.051,107,false,145.989,48.000,false
30.000,0,1.000,0.645,20,false,24.929,9.600,false
30.000,1,1.000,1.058,53,false,62.058,16.800,false
30.000,2,1.000,1.824,60,false,76.714,25.200,false
30.000,3,1.000,1.886,78,false,95.340,36.000,false
30.000,4,3.000,3.736,110,false,145.835,48.000,false
31.000,0,0.000,0.452,20,false,22.993,9.600,false
31.000,1,0.000,0.741,53,false,58.884,16.800,false
31.000,2,1.000,1.577,61,false,75.243,25.200,false
31.000,3,5.000,2.820,83,false,109.681,36.000,false
31.000,4,10.000,5.615,120,false,174.628,48.000,true
32.000,0,0.000,0.316,20,false,21.638,9.600,false
32.000,1,3.000,1.419,56,false,68.661,16.800,false
32.000,2,4.000,2.304,65,false,86.513,25.200,false
32.000,3,3.000,2.874,86,false,113.219,36.000,false
32.000,4,2.000,4.531,121,false,164.782,48.000,false
33.000,0,2.000,0.821,22,false,28.690,9.600,false
33.000,1,0.000,0.993,56,false,64.406,16.800,false
33.000,2,3.000,2.513,68,false,91.602,25.200,false
33.000,3,4.000,3.212,90,false,120.596,36.000,false
33.000,4,3.000,4.071,124,false,163.190,48.000,false
34.000,0,1.000,0.875,22,false,29.226,9.600,false
34.000,1,2.000,1.295,58,false,69.427,16.800,false
34.000,2,3.000,2.659,71,false,96.064,25.200,true
34.000,3,4.000,3.448,93,false,125.960,36.000,false
34.000,4,6.000,4.650,130,false,174.976,48.000,false
35.000,0,0.000,0.612,22,false,26.601,9.600,false
35.000,1,0.000,0.907,58,false,65.542,16.800,false
35.000,2,4.000,3.061,74,false,103.088,25.200,true
35.000,3,4.000,3.614,97,false,131.615,36.000,true
35.000,4,6.000,5.055,136,false,185.026,48.000,true
36.000,0,0.000,0.429,22,false,24.763,9.600,false
36.000,1,1.000,0.935,58,false,65.822,16.800,false
36.000,2,3.000,3.043,77,false,105.904,25.200,true
36.000,3,1.000,2.830,97,false,123.773,36.000,false
36.000,4,6.000,5.338,142,false,193.861,48.000,true
37.000,0,1.000,0.600,22,false,26.477,9.600,false
37.000,1,2.000,1.254,60,false,71.018,16.800,false
37.000,2,2.000,2.730,79,false,104.776,25.200,true
37.000,3,5.000,3.481,102,false,135.284,36.000,false
37.000,4,5.000,5.237,147,false,197.846,48.000,true
38.000,0,0.000,0.420,32,false,34.677,9.600,false
38.000,1,1.000,1.178,61,false,71.256,16.800,false
38.000,2,2.000,2.511,81,false,104.586,25.200,false
38.000,3,1.000,2.737,102,false,127.842,36.000,false
38.000,4,6.000,5.466,142,false,195.135,48.000,true
39.000,0,1.000,0.594,33,false,37.417,9.600,false
39.000,1,2.000,1.425,63,false,75.722,16.800,false
39.000,2,4.000,2.958,85,false,113.053,25.200,true
39.000,3,2.000,2.516,104,false,127.632,36.000,false
39.000,4,3.000,4.726,145,false,190.737,48.000,false
40.000,0,0.000,0.416,33,false,35.635,9.600,false
40.000,1,2.000,1.597,65,false,79.448,16.800,false
40.000,2,5.000,3.570,90,false,124.180,25.200,true
40.000,3,2.000,2.361,106,false,128.085,36.000,false
40.000,4,5.000,4.808,150,false,196.559,48.000,true
41.000,0,0.000,0.291,33,false,34.387,9.600,false
41.000,1,3.000,2.018,67,false,85.657,16.800,true
41.000,2,0.000,2.499,89,false,112.469,25.200,false
41.000,3,0.000,1.653,106,false,121.003,36.000,false
41.000,4,3.000,4.266,153,false,194.134,48.000,false
42.000,0,0.000,0.204,32,false,32.514,9.600,false
42.000,1,0.000,1.413,67,false,79.602,16.800,false
42.000,2,0.000,1.749,89,false,104.971,25.200,false
42.000,3,4.000,2.357,109,false,131.045,36.000,false
42.000,4,0.000,2.986,152,false,180.337,48.000,false
43.000,0,1.000,0.443,33,false,35.903,9.600,false
43.000,1,1.000,1.289,68,false,79.365,16.800,false
43.000,2,2.000,1.825,91,false,107.723,25.200,false
43.000,3,3.000,2.550,112,false,135.974,36.000,false
43.000,4,8.000,4.490,160,false,203.379,48.000,false
44.000,0,1.000,0.610,34,false,38.575,9.600,false
44.000,1,1.000,1.202,69,false,79.498,16.800,false
44.000,2,2.000,1.877,93,false,110.249,25.200,false
44.000,3,0.000,1.785,112,false,128.325,36.000,false
