time,node_id,observed_arrival_rate,waiting_queue_size,idle
39.000,3,1.000,101,false
39.000,4,4.000,162,false
40.000,0,0.000,54,false
40.000,1,3.000,67,false
40.000,2,0.000,73,false
40.000,3,3.000,104,false
40.000,4,5.000,167,false
41.000,0,1.000,55,false
41.000,1,1.000,68,false
41.000,2,6.000,79,false
41.000,3,4.000,108,false
41.000,4,5.000,172,false
42.000,0,1.000,56,false
42.000,1,0.000,68,false
42.000,2,2.000,81,false
42.000,3,1.000,109,false
42.000,4,2.000,174,false
43.000,0,2.000,58,false
43.000,1,1.000,69,false
43.000,2,2.000,83,false
43.000,3,7.000,116,false
43.000,4,2.000,175,false
44.000,0,0.000,58,false
44.000,1,2.000,71,false
44.000,2,1.000,84,false
44.000,3,6.000,122,false
44.000,4,1.000,176,false
45.000,0,0.000,57,false
45.000,1,1.000,72,false
45.000,2,5.000,89,false
45.000,3,5.000,127,false
45.000,4,5.000,180,false
46.000,0,2.000,59,false
46.000,1,1.000,72,false
46.000,2,1.000,90,false
46.000,3,1.000,128,false
46.000,4,1.000,181,false
47.000,0,1.000,60,false
47.000,1,2.000,74,false
47.000,2,3.000,93,false
47.000,3,2.000,130,false
47.000,4,2.000,183,false
48.000,0,0.000,60,false
48.000,1,0.000,74,false
48.000,2,2.000,94,false
48.000,3,6.000,136,false
48.000,4,4.000,187,false
49.000,0,0.000,60,false
49.000,1,2.000,76,false
49.000,2,9.000,103,false
49.000,3,6.000,142,false
49.000,4,5.000,192,false
50.000,0,1.000,61,false
50.000,1,2.000,78,false
50.000,2,3.000,106,false
50.000,3,4.000,146,false
50.000,4,5.000,197,false
51.000,0,1.000,62,false
51.000,1,3.000,81,false
51.000,2,2.000,107,false
51.000,3,3.000,149,false
51.000,4,5.000,202,false
52.000,0,1.000,62,false
52.000,1,1.000,82,false
52.000,2,1.000,108,false
52.000,3,2.000,151,false
52.000,4,2.000,204,false
53.000,0,1.000,63,false
53.000,1,3.000,85,false
53.000,2,3.000,110,false
53.000,3,1.000,152,false
53.000,4,6.000,209,false
54.000,0,0.000,63,false
54.000,1,0.000,84,false
54.000,2,2.000,112,false
54.000,3,3.000,155,false
54.000,4,3.000,212,false
55.000,0,0.000,63,false
55.000,1,1.000,85,false
55.000,2,3.000,115,false
55.000,3,4.000,158,false
55.000,4,6.000,218,false
56.000,0,1.000,63,false
56.000,1,1.000,86,false
56.000,2,3.000,118,false
56.000,3,2.000,160,false
56.000,4,6.000,224,false
57.000,0,2.000,65,false
57.000,1,0.000,85,false
57.000,2,7.000,124,false
57.000,3,2.000,162,false
57.000,4,4.000,227,false
58.000,0,0.000,65,false
58.000,1,1.000,86,false
58.000,2,2.000,126,false
58.000,3,2.000,164,false
58.000,4,5.000,232,false
59.000,0,0.000,65,false
59.000,1,1.000,87,false
59.000,2,1.000,127,false
59.000,3,2.000,166,false
59.000,4,3.000,235,false
60.000,0,0.000,65,false
60.000,1,4.000,91,false
60.000,2,3.000,130,false
60.000,3,4.000,170,false
60.000,4,3.000,238,false
61.000,0,2.000,67,false
