scenario,policy,decision_mode,destination_policy,threshold_mode,iteration,generated,completed,delayed,offloaded,received_offloaded,completed_offloaded,proactive_trigger_events,reactive_trigger_events,completed_deadline_misses,total_waiting_tasks,queue_imbalance,max_offloads_per_event,offload_fraction,high_arrival_rate_threshold,threshold_multiplier,completion_rate,offload_rate,offload_per_delayed,deadline_miss_rate,mean_rough_score,mean_actual_execution_time
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,18,6820,455,104,622,622,73,60,5,417,6360,1547,10.0,0.4,3.0,1.2,0.06671554252199413,0.09120234604105572,5.980769230769231,0.9164835164835164,1.790413078778135,6.609145517391304
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,19,6697,453,112,593,593,74,54,8,394,6239,1395,10.0,0.4,3.0,1.2,0.06764222786322234,0.08854711064655817,5.294642857142857,0.869757174392936,1.7958375885328834,6.603691203056768
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,20,6680,462,105,636,636,76,61,4,402,6213,1468,10.0,0.4,3.0,1.2,0.06916167664670658,0.09520958083832336,6.057142857142857,0.8701298701298701,1.7804527075471697,6.483239164882226
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,21,6734,456,119,635,635,69,58,9,399,6273,1488,10.0,0.4,3.0,1.2,0.06771606771606771,0.0942975942975943,5.336134453781512,0.875,1.776742166929134,6.520083845986984
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,22,6742,467,108,618,618,69,59,6,410,6270,1455,10.0,0.4,3.0,1.2,0.06926727973894986,0.09166419460100861,5.722222222222222,0.8779443254817987,1.7853460809061488,6.385684201271186
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,23,6885,453,110,647,647,75,61,6,396,6427,1474,10.0,0.4,3.0,1.2,0.06579520697167757,0.09397240377632535,5.881818181818182,0.8741721854304636,1.787051081916538,6.587857076419215
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,24,6879,450,121,634,634,74,59,7,398,6424,1465,10.0,0.4,3.0,1.2,0.06541648495420846,0.09216455880215148,5.239669421487603,0.8844444444444445,1.7926311735015774,6.648025665934066
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,25,6579,471,106,624,624,74,56,8,409,6103,1396,10.0,0.4,3.0,1.2,0.07159142726858185,0.09484724122207022,5.886792452830188,0.8683651804670913,1.77494252724359,6.323578403361344
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,26,6713,450,107,606,606,56,61,4,388,6258,1420,10.0,0.4,3.0,1.2,0.06703411291523909,0.09027260539252198,5.663551401869159,0.8622222222222222,1.7886058316831686,6.670363167032967
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,27,6839,464,118,630,630,69,58,9,394,6370,1446,10.0,0.4,3.0,1.2,0.0678461763415704,0.09211873080859775,5.338983050847458,0.8491379310344828,1.789732361904762,6.433240933901919
