scenario,policy,decision_mode,destination_policy,threshold_mode,iterations,generated_mean,generated_std,generated_sem,generated_ci95,completed_mean,completed_std,completed_sem,completed_ci95,delayed_mean,delayed_std,delayed_sem,delayed_ci95,offloaded_mean,offloaded_std,offloaded_sem,offloaded_ci95,received_offloaded_mean,received_offloaded_std,received_offloaded_sem,received_offloaded_ci95,completed_offloaded_mean,completed_offloaded_std,completed_offloaded_sem,completed_offloaded_ci95,proactive_trigger_events_mean,proactive_trigger_events_std,proactive_trigger_events_sem,proactive_trigger_events_ci95,reactive_trigger_events_mean,reactive_trigger_events_std,reactive_trigger_events_sem,reactive_trigger_events_ci95,completed_deadline_misses_mean,completed_deadline_misses_std,completed_deadline_misses_sem,completed_deadline_misses_ci95,total_waiting_tasks_mean,total_waiting_tasks_std,total_waiting_tasks_sem,total_waiting_tasks_ci95,queue_imbalance_mean,queue_imbalance_std,queue_imbalance_sem,queue_imbalance_ci95,max_offloads_per_event_mean,max_offloads_per_event_std,max_offloads_per_event_sem,max_offloads_per_event_ci95,offload_fraction_mean,offload_fraction_std,offload_fraction_sem,offload_fraction_ci95,high_arrival_rate_threshold_mean,high_arrival_rate_threshold_std,high_arrival_rate_threshold_sem,high_arrival_rate_threshold_ci95,threshold_multiplier_mean,threshold_multiplier_std,threshold_multiplier_sem,threshold_multiplier_ci95,completion_rate_mean,completion_rate_std,completion_rate_sem,completion_rate_ci95,offload_rate_mean,offload_rate_std,offload_rate_sem,offload_rate_ci95,offload_per_delayed_mean,offload_per_delayed_std,offload_per_delayed_sem,offload_per_delayed_ci95,deadline_miss_rate_mean,deadline_miss_rate_std,deadline_miss_rate_sem,deadline_miss_rate_ci95,mean_rough_score_mean,mean_rough_score_std,mean_rough_score_sem,mean_rough_score_ci95,mean_actual_execution_time_mean,mean_actual_execution_time_std,mean_actual_execution_time_sem,mean_actual_execution_time_ci95
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,50,6778.18,93.6684753014915,13.246722813817856,25.963576715082997,455.92,12.493002122821252,1.766777303684968,3.4628835152225372,114.4,8.101398216433044,1.1457107231864814,2.245593017445503,633.54,17.99910428610382,2.5454577391975723,4.989097168827242,633.54,17.99910428610382,2.5454577391975723,4.989097168827242,72.72,6.439799718016335,0.9107252100185134,1.7850214116362861,59.7,2.837432009434458,0.4012734830053754,0.7864960266905356,6.18,2.3963407478052523,0.33889375856134724,0.6642317667802405,398.08,11.943472301313589,1.6890620510345078,3.3105616200276353,6317.26,96.16584526700926,13.5999042613677,26.65581235228069,1447.48,52.92900134778163,7.48529115488966,14.671170663583734,10.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.06727890375760698,0.002179798847106494,0.00030827010928232405,0.000604209414193355,0.09346543925134636,0.002229675971429137,0.0003153237998492491,0.0006180346477045282,5.5655392784213795,0.42595550640501906,0.06023920541254777,0.11806884260859361,0.8731652652694738,0.012831871159391793,0.0018147006224236044,0.003556813219950265,1.78560891040245,0.005739439569562085,0.0008116793279695499,0.0015908914828203177,6.553728351334571,0.17615552959834896,0.024912153904500026,0.048827821652820055
selector_ablation_fifo,FIFO,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,50,6778.18,93.6684753014915,13.246722813817856,25.963576715082997,455.12,13.577652708079718,1.9201700604958118,3.763533318571791,115.66,7.190157671910872,1.0168418495217313,1.9930100250625933,637.24,15.158428651534877,2.143725538326553,4.201702055120044,637.24,15.158428651534877,2.143725538326553,4.201702055120044,122.52,10.833131342962549,1.5320361268186697,3.0027908085645922,59.62,2.91995247375357,0.41294363898671677,0.8093695324139648,6.44,2.5567836938510964,0.36158381758985997,0.7087042824761255,395.48,13.079412081900442,1.8497081954090122,3.625428063001664,6318.06,94.88885227314263,13.41931018026954,26.301847953328295,1448.12,55.094960694037624,7.791604063192059,15.271543963856436,10.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.06715795744779389,0.0022191886394598635,0.00031384066713884354,0.0006151277075921333,0.09401502139607659,0.0019024009171855981,0.0002690401178154888,0.0005273186309183581,5.5300529133332414,0.36013971502823044,0.050931446934210506,0.09982563599105258,0.8689772005857119,0.013689614749600568,0.0019360038842547885,0.003794567613139385,0.0,0.0,0.0,0.0,6.573769717843333,0.1939498520291478,0.027428651115987576,0.05376015618733565
selector_ablation_none,NONE,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,50,6778.18,93.6684753014915,13.246722813817856,25.963576715082997,455.32,13.415556002534627,1.8972461245560253,3.7186024041298094,114.18,8.302175765965185,1.1741049565433201,2.3012457148249075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.62,13.179901210493474,1.8639195042617442,3.6532822283530186,6317.86,96.1344742683765,13.595467732194535,26.64711675510129,1923.6,59.23767416784969,8.377472221161138,16.41984555347583,10.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.06719004416326711,0.0022850531725071366,0.000323155318730326,0.0006333844247114389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8733142896354974,0.015476097550156267,0.0021886507048040024,0.004289755381415844,0.0,0.0,0.0,0.0,6.567617636813268,0.19245989257943685,0.02721793902987086,0.05334716049854688
selector_ablation_random,RANDOM,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,50,6778.18,93.6684753014915,13.246722813817856,25.963576715082997,455.02,13.433874332888362,1.8998367276786534,3.723679986250161,114.44,7.650956989628347,1.0820087139865635,2.1207370794136646,635.64,16.155822858799176,2.2847783798211063,4.478165624449368,635.64,16.155822858799176,2.2847783798211063,4.478165624449368,82.56,7.35446553226719,1.0400784899737723,2.0385538403485937,60.42,3.0844574159842777,0.43620815102472366,0.8549679760084583,5.48,2.5891453163906726,0.3661604421394467,0.7176744665933156,399.0,12.803060858518903,1.8106262306005554,3.548827411977088,6318.16,97.52160618790785,13.791637809534722,27.031610106688056,1448.48,55.153307669973664,7.79985557166128,15.287716920456107,10.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.06714864587831755,0.002371491144221221,0.00033537949392053405,0.0006573438080842467,0.09378077228823894,0.0021605918647501646,0.00030555383178826584,0.000598885510305001,5.578082978676723,0.38727337589821276,0.05476872605412662,0.10734670306608816,0.8769175461343829,0.013221233164974845,0.0018697647253204386,0.003664738861628059,0.0,0.0,0.0,0.0,6.5738524675070185,0.19616689079552868,0.027742187745159852,0.05437468798051331
