time,node_id,observed_arrival_rate,waiting_queue_size,idle
0.000,0,3.000,3,true
0.000,1,1.000,1,true
0.000,2,5.000,5,true
0.000,3,2.000,2,true
0.000,4,3.000,3,true
1.000,0,2.000,4,false
1.000,1,2.000,2,false
1.000,2,1.000,5,false
1.000,3,3.000,4,false
1.000,4,1.000,3,false
2.000,0,1.000,5,false
2.000,1,2.000,4,false
2.000,2,2.000,7,false
2.000,3,3.000,7,false
2.000,4,5.000,8,false
3.000,0,0.000,5,false
3.000,1,0.000,4,false
3.000,2,0.000,7,false
3.000,3,4.000,10,false
3.000,4,7.000,15,false
4.000,0,0.000,5,false
4.000,1,3.000,7,false
4.000,2,3.000,10,false
4.000,3,3.000,13,false
4.000,4,4.000,19,false
5.000,0,1.000,6,false
5.000,1,2.000,9,false
5.000,2,4.000,14,false
5.000,3,2.000,15,false
5.000,4,4.000,23,false
6.000,0,0.000,6,false
6.000,1,0.000,9,false
6.000,2,1.000,15,false
6.000,3,3.000,18,false
6.000,4,2.000,25,false
7.000,0,1.000,7,false
7.000,1,1.000,9,false
7.000,2,2.000,16,false
7.000,3,3.000,21,false
7.000,4,2.000,27,false
8.000,0,0.000,3,false
8.000,1,1.000,13,false
8.000,2,7.000,23,false
8.000,3,2.000,22,false
8.000,4,2.000,28,false
9.000,0,2.000,5,false
9.000,1,2.000,15,false
9.000,2,3.000,26,false
9.000,3,3.000,25,false
9.000,4,7.000,35,false
10.000,0,1.000,12,false
10.000,1,1.000,9,false
10.000,2,1.000,26,false
10.000,3,5.000,30,false
10.000,4,5.000,40,false
11.000,0,1.000,13,false
11.000,1,1.000,10,false
11.000,2,1.000,27,false
11.000,3,4.000,34,false
11.000,4,1.000,41,false
12.000,0,1.000,14,false
12.000,1,0.000,10,false
12.000,2,4.000,31,false
12.000,3,2.000,35,false
12.000,4,2.000,43,false
13.000,0,1.000,15,false
13.000,1,0.000,10,false
13.000,2,1.000,31,false
13.000,3,0.000,35,false
13.000,4,4.000,47,false
14.000,0,1.000,16,false
14.000,1,0.000,10,false
14.000,2,1.000,32,false
14.000,3,3.000,38,false
14.000,4,4.000,51,false
15.000,0,1.000,17,false
15.000,1,2.000,12,false
15.000,2,3.000,35,false
15.000,3,2.000,40,false
15.000,4,3.000,54,false
16.000,0,0.000,17,false
16.000,1,1.000,13,false
16.000,2,3.000,38,false
16.000,3,4.000,43,false
16.000,4,4.000,58,false
17.000,0,2.000,19,false
17.000,1,1.000,14,false
17.000,2,0.000,38,false
17.000,3,3.000,46,false
17.000,4,6.000,64,false
18.000,0,0.000,19,false
18.000,1,4.000,18,false
18.000,2,4.000,42,false
18.000,3,3.000,49,false
18.000,4,4.000,68,false
19.000,0,0.000,19,false
19.000,1,0.000,18,false
19.000,2,4.000,45,false
19.000,3,1.000,50,false
19.000,4,4.000,72,false
20.000,0,1.000,20,false
20.000,1,1.000,18,false
20.000,2,5.000,50,false
20.000,3,3.000,53,false
20.000,4,1.000,73,false
21.000,0,1.000,12,false
21.000,1,1.000,27,false
21.000,2,5.000,55,false
21.000,3,1.000,54,false
21.000,4,2.000,74,false
22.000,0,0.000,12,false
22.000,1,3.000,30,false
22.000,2,0.000,55,false
22.000,3,1.000,55,false
22.000,4,5.000,79,false
23.000,0,1.000,13,false
23.000,1,3.000,33,false
23.000,2,0.000,55,false
23.000,3,4.000,58,false
23.000,4,2.000,81,false
24.000,0,1.000,14,false
24.000,1,1.000,34,false
24.000,2,0.000,55,false
24.000,3,1.000,59,false
24.000,4,5.000,86,false
25.000,0,0.000,24,false
25.000,1,5.000,39,false
25.000,2,2.000,56,false
25.000,3,6.000,65,false
25.000,4,5.000,80,false
26.000,0,3.000,27,false
26.000,1,2.000,41,false
26.000,2,3.000,59,false
26.000,3,1.000,66,false
26.000,4,8.000,88,false
27.000,0,0.000,27,false
27.000,1,0.000,41,false
27.000,2,3.000,62,false
27.000,3,4.000,70,false
27.000,4,7.000,95,false
28.000,0,0.000,27,false
28.000,1,3.000,43,false
28.000,2,0.000,62,false
28.000,3,5.000,75,false
28.000,4,8.000,103,false
29.000,0,1.000,38,false
29.000,1,2.000,45,false
29.000,2,1.000,62,false
29.000,3,3.000,67,false
29.000,4,0.000,103,false
30.000,0,0.000,38,false
30.000,1,3.000,48,false
30.000,2,1.000,63,false
30.000,3,7.000,74,false
30.000,4,3.000,106,false
31.000,0,1.000,39,false
31.000,1,1.000,49,false
31.000,2,1.000,63,false
31.000,3,2.000,76,false
31.000,4,1.000,107,false
32.000,0,1.000,40,false
32.000,1,2.000,50,false
32.000,2,2.000,65,false
32.000,3,5.000,81,false
32.000,4,4.000,111,false
33.000,0,0.000,40,false
33.000,1,0.000,50,false
33.000,2,2.000,67,false
33.000,3,2.000,83,false
33.000,4,2.000,113,false
34.000,0,1.000,41,false
34.000,1,1.000,51,false
34.000,2,2.000,69,false
34.000,3,0.000,83,false
34.000,4,4.000,117,false
35.000,0,0.000,41,false
35.000,1,0.000,50,false
35.000,2,2.000,71,false
35.000,3,4.000,87,false
35.000,4,5.000,122,false
36.000,0,2.000,43,false
36.000,1,1.000,51,false
36.000,2,1.000,72,false
36.000,3,5.000,92,false
36.000,4,4.000,126,false
37.000,0,0.000,43,false
37.000,1,1.000,52,false
37.000,2,1.000,72,false
37.000,3,1.000,93,false
37.000,4,3.000,129,false
38.000,0,0.000,42,false
38.000,1,2.000,53,false
38.000,2,1.000,73,false
38.000,3,2.000,95,false
38.000,4,3.000,131,false
39.000,0,0.000,42,false
39.000,1,0.000,53,false
39.000,2,2.000,75,false
39.000,3,5.000,100,false
39.000,4,4.000,135,false
40.000,0,1.000,43,false
40.000,1,1.000,54,false
40.000,2,0.000,75,false
40.000,3,6.000,106,false
40.000,4,3.000,138,false
41.000,0,0.000,43,false
41.000,1,4.000,57,false
41.000,2,3.000,78,false
41.000,3,3.000,108,false
41.000,4,3.000,141,false
42.000,0,0.000,43,false
42.000,1,2.000,59,false
42.000,2,1.000,79,false
42.000,3,4.000,112,false
42.000,4,4.000,145,false
43.000,0,0.000,43,false
43.000,1,0.000,59,false
43.000,2,2.000,81,false
43.000,3,4.000,115,false
43.000,4,1.000,146,false
44.000,0,2.000,45,false
44.000,1,4.000,63,false
44.000,2,4.000,85,false
44.000,3,6.000,121,false
44.000,4,3.000,148,false
45.000,0,0.000,55,false
45.000,1,0.000,63,false
45.000,2,4.000,78,false
45.000,3,0.000,121,false
45.000,4,1.000,149,false
46.000,0,1.000,56,false
46.000,1,0.000,62,false
46.000,2,2.000,80,false
46.000,3,4.000,125,false
46.000,4,2.000,150,false
47.000,0,3.000,59,false
47.000,1,1.000,63,false
47.000,2,2.000,82,false
47.000,3,4.000,129,false
47.000,4,7.000,157,false
48.000,0,1.000,60,false
48.000,1,2.000,65,false
48.000,2,3.000,84,false
48.000,3,2.000,131,false
48.000,4,1.000,158,false
49.000,0,1.000,60,false
49.000,1,1.000,66,false
49.000,2,2.000,86,false
49.000,3,3.000,133,false
49.000,4,4.000,162,false
50.000,0,0.000,60,false
50.000,1,3.000,69,false
50.000,2,1.000,87,false
50.000,3,2.000,135,false
50.000,4,7.000,169,false
51.000,0,0.000,70,false
51.000,1,0.000,69,false
51.000,2,0.000,87,false
51.000,3,3.000,138,false
51.000,4,3.000,161,false
52.000,0,1.000,71,false
52.000,1,1.000,70,false
52.000,2,3.000,89,false
52.000,3,5.000,143,false
52.000,4,3.000,164,false
53.000,0,1.000,72,false
53.000,1,1.000,70,false
53.000,2,2.000,91,false
53.000,3,2.000,145,false
53.000,4,5.000,169,false
54.000,0,1.000,62,false
54.000,1,0.000,80,false
54.000,2,1.000,92,false
54.000,3,6.000,151,false
54.000,4,7.000,176,false
55.000,0,1.000,63,false
55.000,1,0.000,80,false
55.000,2,2.000,93,false
55.000,3,2.000,153,false
55.000,4,3.000,179,false
56.000,0,1.000,64,false
56.000,1,1.000,81,false
56.000,2,3.000,96,false
56.000,3,6.000,158,false
56.000,4,3.000,182,false
57.000,0,2.000,66,false
57.000,1,2.000,83,false
57.000,2,7.000,103,false
57.000,3,4.000,162,false
57.000,4,4.000,186,false
58.000,0,0.000,66,false
58.000,1,0.000,83,false
58.000,2,3.000,106,false
58.000,3,3.000,165,false
58.000,4,5.000,191,false
59.000,0,2.000,68,false
59.000,1,1.000,84,false
59.000,2,1.000,107,false
59.000,3,4.000,169,false
59.000,4,4.000,195,false
60.000,0,1.000,69,false
60.000,1,0.000,84,false
60.000,2,3.000,110,false
60.000,3,4.000,173,false
60.000,4,6.000,201,false
61.000,0,1.000,70,false
