scenario,policy,destination_policy,threshold_mode,iteration,generated,completed,delayed,offloaded,received_offloaded,completed_offloaded,total_waiting_tasks,queue_imbalance,max_offloads_per_event,offload_fraction,high_arrival_rate_threshold,threshold_multiplier,completion_rate,offload_rate,offload_per_delayed,mean_rough_score,mean_actual_execution_time
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,1,6706,476,113,510,510,29,6225,1477,10.0,0.4,3.0,1.2,0.0709812108559499,0.0760512973456606,4.513274336283186,1.8488449980392156,6.257742696465696
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,2,6792,473,110,520,520,46,6314,1553,10.0,0.4,3.0,1.2,0.06964075382803298,0.07656065959952886,4.7272727272727275,1.8691768173076924,6.309619259414226
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,3,6847,446,120,430,430,30,6396,1647,10.0,0.4,3.0,1.2,0.06513801664962758,0.06280122681466335,3.5833333333333335,1.8608206813953487,6.700304507760532
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,4,6734,436,127,609,609,62,6293,1381,10.0,0.4,3.0,1.2,0.06474606474606474,0.09043659043659044,4.7952755905511815,1.8384848407224958,6.832956716553288
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,5,6997,437,121,550,550,29,6555,1611,10.0,0.4,3.0,1.2,0.06245533800200086,0.07860511647849078,4.545454545454546,1.856576609090909,6.81588764479638
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,6,6740,448,108,480,480,30,6287,1526,10.0,0.4,3.0,1.2,0.06646884272997032,0.0712166172106825,4.444444444444445,1.8537968875,6.670269233995585
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,7,6800,456,104,371,371,9,6339,1823,10.0,0.4,3.0,1.2,0.06705882352941177,0.054558823529411764,3.5673076923076925,1.8673262722371968,6.562191438177874
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,8,6632,440,109,400,400,18,6187,1641,10.0,0.4,3.0,1.2,0.06634499396863691,0.06031363088057901,3.669724770642202,1.87360082,6.78302835505618
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,9,6765,437,122,406,406,42,6323,1675,10.0,0.4,3.0,1.2,0.06459719142645971,0.060014781966001476,3.3278688524590163,1.8598419507389161,6.817179839366515
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,10,6690,420,125,480,480,46,6265,1489,10.0,0.4,3.0,1.2,0.06278026905829596,0.07174887892376682,3.84,1.8430336041666666,7.092016091764706
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,11,6789,462,108,420,420,42,6322,1542,10.0,0.4,3.0,1.2,0.06805125939019001,0.0618647812638091,3.888888888888889,1.8633745333333334,6.446482010706638
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,12,6785,452,117,478,478,37,6328,1683,10.0,0.4,3.0,1.2,0.06661753868828298,0.07044952100221076,4.085470085470085,1.8524513368200837,6.641734849015317
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,13,6927,477,108,436,436,27,6445,1603,10.0,0.4,3.0,1.2,0.06886097877869207,0.06294211058178144,4.037037037037037,1.8517219839449541,6.293617840248963
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,14,6917,455,114,440,440,18,6457,1643,10.0,0.4,3.0,1.2,0.06577996241145005,0.0636113922220616,3.8596491228070176,1.8755192681818182,6.578763128260869
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,15,6690,462,114,471,471,35,6223,1693,10.0,0.4,3.0,1.2,0.06905829596412556,0.07040358744394619,4.131578947368421,1.8633314861995753,6.4419541434689505
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,16,6660,462,116,534,534,60,6193,1492,10.0,0.4,3.0,1.2,0.06936936936936937,0.08018018018018018,4.603448275862069,1.837210970037453,6.444620458244111
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,17,6770,458,106,350,350,35,6307,1786,10.0,0.4,3.0,1.2,0.06765140324963072,0.051698670605613,3.30188679245283,1.8476634714285716,6.529836995680346
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,18,6820,458,99,373,373,48,6357,1789,10.0,0.4,3.0,1.2,0.06715542521994135,0.05469208211143695,3.7676767676767677,1.859886745308311,6.541431889848812
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,19,6697,450,110,400,400,42,6242,1662,10.0,0.4,3.0,1.2,0.06719426608929371,0.05972823652381663,3.6363636363636362,1.8658277625,6.640278186813187
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,20,6680,462,105,472,472,41,6213,1631,10.0,0.4,3.0,1.2,0.06916167664670658,0.07065868263473053,4.495238095238095,1.8537437076271186,6.4847446766595285
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,21,6734,456,121,496,496,64,6273,1605,10.0,0.4,3.0,1.2,0.06771606771606771,0.07365607365607366,4.099173553719008,1.834534818548387,6.5729558177874186
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,22,6742,473,107,383,383,32,6264,1622,10.0,0.4,3.0,1.2,0.07015722337585287,0.05680806882230792,3.5794392523364484,1.8584328015665796,6.328786677824267
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,23,6885,450,109,469,469,40,6430,1676,10.0,0.4,3.0,1.2,0.06535947712418301,0.06811909949164852,4.302752293577981,1.8538652217484008,6.607914261538461
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,24,6879,444,121,507,507,12,6430,1601,10.0,0.4,3.0,1.2,0.06454426515481901,0.0737025730484082,4.190082644628099,1.8523875759368835,6.70211723830735
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,25,6579,471,106,399,399,36,6103,1591,10.0,0.4,3.0,1.2,0.07159142726858185,0.06064751481988144,3.7641509433962264,1.830762724310777,6.330426733193277
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,26,6713,457,104,511,511,19,6251,1584,10.0,0.4,3.0,1.2,0.06807686578280947,0.07612095933263817,4.913461538461538,1.8679143111545988,6.528067506493507
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,27,6839,458,119,509,509,27,6376,1588,10.0,0.4,3.0,1.2,0.06696885509577423,0.07442608568504168,4.277310924369748,1.8587427190569745,6.529140274298056
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,28,6859,469,110,466,466,36,6385,1641,10.0,0.4,3.0,1.2,0.06837731447732906,0.06793993293483015,4.236363636363636,1.8477030836909871,6.3794477763713076
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,29,6824,461,116,446,446,47,6358,1636,10.0,0.4,3.0,1.2,0.0675556858147714,0.06535756154747949,3.8448275862068964,1.8630968183856502,6.453772463519313
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,30,6894,443,113,420,420,25,6446,1710,10.0,0.4,3.0,1.2,0.0642587757470264,0.060922541340295906,3.7168141592920354,1.8637055214285714,6.780469287946429
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,31,6832,456,126,467,467,31,6371,1572,10.0,0.4,3.0,1.2,0.06674473067915691,0.06835480093676816,3.7063492063492065,1.8461845224839402,6.527277436008676
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,32,6784,434,130,598,598,57,6345,1490,10.0,0.4,3.0,1.2,0.06397405660377359,0.08814858490566038,4.6,1.8467283026755852,6.87984110022779
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,33,6670,453,129,437,437,34,6212,1583,10.0,0.4,3.0,1.2,0.0679160419790105,0.06551724137931035,3.387596899224806,1.856698686498856,6.585403155021834
default_config,AHP_ROUGH,LEAST_QUEUE,ADAPTIVE_RATE,34,6882,455,110,537,537,56,6422,1702,10.0,0.4,3.0,1.2,0.06611450159837257,0.07802964254577158,4.881818181818182,1.8543798975791435,6.553786223913043
