time,node_id,observed_arrival_rate,smoothed_arrival_rate,waiting_queue_size,idle,predicted_queue_size,proactive_queue_threshold,proactive_risk
0.000,0,1.000,1.000,0,false,8.476,9.600,false
0.000,1,0.000,0.000,0,true,0.000,16.800,false
0.000,2,0.000,0.000,0,true,0.000,25.200,false
0.000,3,2.000,2.000,1,false,19.476,36.000,false
0.000,4,7.000,7.000,6,false,74.476,48.000,true
1.000,0,1.000,1.000,1,false,9.476,9.600,false
1.000,1,2.000,0.600,1,false,5.476,16.800,false
1.000,2,1.000,0.300,0,false,1.476,25.200,false
1.000,3,5.000,2.900,6,false,33.476,36.000,false
1.000,4,2.000,5.500,8,false,61.476,48.000,true
2.000,0,0.000,0.700,1,false,6.476,9.600,false
2.000,1,1.000,0.720,2,false,7.676,16.800,false
2.000,2,2.000,0.810,2,false,8.576,25.200,false
2.000,3,3.000,2.930,9,false,36.776,36.000,false
2.000,4,4.000,5.050,12,false,60.976,48.000,true
3.000,0,1.000,0.790,2,false,8.376,9.600,false
3.000,1,1.000,0.804,3,false,9.516,16.800,false
3.000,2,1.000,0.867,3,false,10.146,25.200,false
3.000,3,3.000,2.951,12,false,39.986,36.000,false
3.000,4,2.000,4.135,14,false,53.826,48.000,true
4.000,0,1.000,0.853,3,false,10.006,9.600,false
4.000,1,2.000,1.163,5,false,15.104,16.800,false
4.000,2,1.000,0.907,4,false,11.545,25.200,false
4.000,3,4.000,3.266,16,false,47.133,36.000,true
4.000,4,4.000,4.094,18,false,57.421,48.000,true
5.000,0,0.000,0.597,3,false,7.447,9.600,false
5.000,1,2.000,1.414,7,false,19.616,16.800,false
5.000,2,1.000,0.935,5,false,12.824,25.200,false
5.000,3,1.000,2.586,17,false,41.336,36.000,false
5.000,4,2.000,3.466,19,false,52.138,48.000,true
6.000,0,0.000,0.418,3,false,5.656,9.600,false
6.000,1,2.000,1.590,9,false,23.374,16.800,false
6.000,2,1.000,0.954,5,false,13.020,25.200,false
6.000,3,5.000,3.310,22,false,53.578,36.000,true
6.000,4,8.000,4.826,27,false,73.739,48.000,true
7.000,0,0.000,0.293,3,false,4.402,9.600,false
7.000,1,1.000,1.413,10,false,22.605,16.800,false
7.000,2,2.000,1.268,7,false,18.157,25.200,false
7.000,3,6.000,4.117,28,false,67.648,36.000,true
7.000,4,1.000,3.678,28,false,63.260,48.000,true
8.000,0,0.000,0.205,2,false,2.524,9.600,false
8.000,1,2.000,1.589,12,false,26.366,16.800,false
8.000,2,5.000,2.388,11,false,33.353,25.200,false
8.000,3,1.000,3.182,29,false,59.296,36.000,true
8.000,4,5.000,4.075,33,false,72.225,48.000,true
9.000,0,3.000,1.043,5,false,13.910,9.600,false
9.000,1,1.000,1.412,12,false,24.599,16.800,false
9.000,2,2.000,2.271,13,false,34.190,25.200,false
9.000,3,4.000,3.427,33,false,65.750,36.000,true
9.000,4,4.000,4.052,37,false,76.000,48.000,true
10.000,0,1.000,1.030,6,false,14.780,9.600,false
10.000,1,2.000,1.589,14,false,28.362,16.800,false
10.000,2,3.000,2.490,16,false,39.376,25.200,false
10.000,3,5.000,3.899,38,false,75.468,36.000,true
10.000,4,2.000,3.437,39,false,71.843,48.000,true
11.000,0,0.000,0.721,6,false,11.689,9.600,false
11.000,1,0.000,1.112,14,false,23.596,16.800,false
11.000,2,1.000,2.043,17,false,35.906,25.200,false
11.000,3,2.000,3.329,40,false,71.770,36.000,true
11.000,4,7.000,4.506,45,false,88.533,48.000,true
12.000,0,1.000,0.805,7,false,13.525,9.600,false
12.000,1,3.000,1.678,17,false,32.260,16.800,false
12.000,2,1.000,1.730,17,false,32.777,25.200,false
12.000,3,5.000,3.831,44,false,80.782,36.000,true
12.000,4,5.000,4.654,50,false,95.016,48.000,true
13.000,0,0.000,0.563,7,false,11.110,9.600,false
13.000,1,3.000,2.075,20,false,39.225,16.800,false
13.000,2,1.000,1.511,18,false,31.587,25.200,false
13.000,3,2.000,3.281,46,false,77.290,36.000,true
13.000,4,3.000,4.158,53,false,93.054,48.000,true
14.000,0,0.000,0.394,6,false,8.420,9.600,false
14.000,1,0.000,1.452,20,false,33.000,16.800,false
14.000,2,2.000,1.658,20,false,35.054,25.200,false
14.000,3,4.000,3.497,50,false,83.446,36.000,true
14.000,4,1.000,3.210,54,false,84.581,48.000,true
15.000,0,2.000,0.876,8,false,15.237,9.600,false
15.000,1,1.000,1.317,21,false,32.643,16.800,false
15.000,2,1.000,1.460,21,false,34.080,25.200,false
15.000,3,1.000,2.748,51,false,76.955,36.000,false
15.000,4,5.000,3.747,59,false,94.949,48.000,true
16.000,0,0.000,0.613,8,false,12.609,9.600,false
16.000,1,1.000,1.222,21,false,31.693,16.800,false
16.000,2,3.000,1.922,24,false,41.699,25.200,false
16.000,3,5.000,3.424,55,false,87.711,36.000,true
16.000,4,4.000,3.823,63,false,99.707,48.000,true
17.000,0,0.000,0.429,8,false,10.769,9.600,false
17.000,1,1.000,1.155,22,false,32.028,16.800,false
17.000,2,3.000,2.246,27,false,47.932,25.200,false
17.000,3,3.000,3.296,58,false,89.441,36.000,true
17.000,4,10.000,5.676,73,false,128.238,48.000,true
18.000,0,0.000,0.300,8,false,9.481,9.600,false
18.000,1,1.000,1.109,23,false,32.562,16.800,false
18.000,2,3.000,2.472,30,false,53.195,25.200,false
18.000,3,2.000,2.908,60,false,87.551,36.000,false
18.000,4,2.000,4.573,74,false,118.209,48.000,true
19.000,0,1.000,0.510,9,false,12.580,9.600,false
19.000,1,0.000,0.776,23,false,29.237,16.800,false
19.000,2,2.000,2.330,32,false,53.780,25.200,false
19.000,3,3.000,2.935,63,false,90.829,36.000,false
19.000,4,6.000,5.001,80,false,128.489,48.000,true
20.000,0,0.000,0.357,9,false,11.049,9.600,false
